region,orden_reg,distrito,com_nom,cod_servel,cod_casen,padron,vot_boric,vot_kast,vot_nulo,vot_blanco,vot_validos,vot_tot,participacion,per_pob2020
DE VALPARAISO,6,DISTRITO 7,ALGARROBO,2564,5602,14805,4580,5096,61,23,9676,9760,0.6592367443431273,0.09647623669295971
METROPOLITANA DE SANTIAGO,7,DISTRITO 14,ALHUE,2801,13502,6118,1952,1092,9,9,3044,3062,0.5004903563255966,0.07195675933170456
DEL BIOBIO,11,DISTRITO 21,ALTO BIOBIO,2674,8314,5583,1283,1069,48,20,2352,2420,0.43345871395307184,0.2892709776332985
DE ATACAMA,4,DISTRITO 4,ALTO DEL CARMEN,2523,3302,5148,1236,701,23,5,1937,1965,0.3817016317016317,0.1277138289175974
DE TARAPACA,2,DISTRITO 2,ALTO HOSPICIO,2502,1107,60343,11971,11897,279,64,23868,24211,0.4012230084682565,0.1609218325218222
DE LOS LAGOS,14,DISTRITO 26,ANCUD,2717,10202,38912,10412,8225,118,48,18637,18803,0.48321854440789475,0.1206033473866003
DE COQUIMBO,5,DISTRITO 5,ANDACOLLO,2528,4103,11278,4274,1480,61,18,5754,5833,0.5172016314949459,0.1116838823475293
DE LA ARAUCANIA,12,DISTRITO 22,ANGOL,2696,9201,46976,7931,16634,181,62,24565,24808,0.528099455040872,0.1486996364033379
DE MAGALLANES Y DE LA ANTARTICA CHILENA,16,DISTRITO 28,ANTARTICA,2752,NA,233,7,26,0,0,33,33,0.14163090128755365,NA
DE ANTOFAGASTA,3,DISTRITO 3,ANTOFAGASTA,2508,2101,289086,80734,52976,1392,388,133710,135490,0.4686840594148454,0.08254209896171957
DEL BIOBIO,11,DISTRITO 21,ANTUCO,2662,8302,4687,982,1188,28,7,2170,2205,0.47045018135267763,0.1472194208619249
DEL BIOBIO,11,DISTRITO 21,ARAUCO,2655,8202,31244,7429,9296,171,51,16725,16947,0.5424081423633338,0.1304801189375123
DE ARICA Y PARINACOTA,1,DISTRITO 1,ARICA,2822,15101,180736,43248,41586,804,247,84834,85885,0.4751958657932011,0.117570668124598
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,15,DISTRITO 27,AYSEN,2739,11201,22646,6354,3924,69,38,10278,10385,0.45857988165680474,0.0692517002603307
METROPOLITANA DE SANTIAGO,7,DISTRITO 14,BUIN,2797,13402,78010,26268,20391,358,105,46659,47122,0.6040507627227278,0.08511276986700748
