region,distrito,comuna
DE VALPARAISO,DISTRITO 7,ALGARROBO
METROPOLITANA DE SANTIAGO,DISTRITO 14,ALHUE
DEL BIOBIO,DISTRITO 21,ALTO BIOBIO
DE ATACAMA,DISTRITO 4,ALTO DEL CARMEN
DE TARAPACA,DISTRITO 2,ALTO HOSPICIO
DE LOS LAGOS,DISTRITO 26,ANCUD
DE COQUIMBO,DISTRITO 5,ANDACOLLO
DE LA ARAUCANIA,DISTRITO 22,ANGOL
DE ANTOFAGASTA,DISTRITO 3,ANTOFAGASTA
DEL BIOBIO,DISTRITO 21,ANTUCO
DEL BIOBIO,DISTRITO 21,ARAUCO
DE ARICA Y PARINACOTA,DISTRITO 1,ARICA
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,AYSEN
METROPOLITANA DE SANTIAGO,DISTRITO 14,BUIN
DE ÑUBLE,DISTRITO 19,BULNES
DE VALPARAISO,DISTRITO 6,CABILDO
DE MAGALLANES Y DE LA ANTARTICA CHILENA,DISTRITO 28,CABO DE HORNOS(EX-NAVARINO) Y ANTARTICA
DEL BIOBIO,DISTRITO 21,CABRERO
DE ANTOFAGASTA,DISTRITO 3,CALAMA
DE LOS LAGOS,DISTRITO 26,CALBUCO
DE ATACAMA,DISTRITO 4,CALDERA
DE VALPARAISO,DISTRITO 6,CALERA
METROPOLITANA DE SANTIAGO,DISTRITO 14,CALERA DE TANGO
DE VALPARAISO,DISTRITO 6,CALLE LARGA
DE ARICA Y PARINACOTA,DISTRITO 1,CAMARONES
DE TARAPACA,DISTRITO 2,CAMIÑA
DE COQUIMBO,DISTRITO 5,CANELA
DEL BIOBIO,DISTRITO 21,CAÑETE
DE LA ARAUCANIA,DISTRITO 23,CARAHUE
DE VALPARAISO,DISTRITO 7,CARTAGENA
DE VALPARAISO,DISTRITO 7,CASABLANCA
DE LOS LAGOS,DISTRITO 26,CASTRO
DE VALPARAISO,DISTRITO 6,CATEMU
DEL MAULE,DISTRITO 18,CAUQUENES
METROPOLITANA DE SANTIAGO,DISTRITO 8,CERRILLOS
METROPOLITANA DE SANTIAGO,DISTRITO 9,CERRO NAVIA
DE LOS LAGOS,DISTRITO 26,CHAITEN
DE ATACAMA,DISTRITO 4,CHAÑARAL
DEL MAULE,DISTRITO 18,CHANCO
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHEPICA
DEL BIOBIO,DISTRITO 20,CHIGUAYANTE
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,CHILE CHICO
DE ÑUBLE,DISTRITO 19,CHILLAN
DE ÑUBLE,DISTRITO 19,CHILLAN VIEJO
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 16,CHIMBARONGO
DE LA ARAUCANIA,DISTRITO 23,CHOLCHOL
DE LOS LAGOS,DISTRITO 26,CHONCHI
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,CISNES
DE ÑUBLE,DISTRITO 19,COBQUECURA
DE LOS LAGOS,DISTRITO 26,COCHAMO
DE AYSEN DEL GENERAL CARLOS IBAÑEZ DEL CAMPO,DISTRITO 27,COCHRANE
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 15,CODEGUA
DE ÑUBLE,DISTRITO 19,COELEMU
DE ÑUBLE,DISTRITO 19,COIHUECO
DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS,DISTRITO 15,COINCO
DEL MAULE,DISTRITO 18,COLBUN
DE TARAPACA,DISTRITO 2,COLCHANE
METROPOLITANA DE SANTIAGO,DISTRITO 8,COLINA
DE LA ARAUCANIA,DISTRITO 22,COLLIPULLI
